Fund net assets,"Fossil fuel holdings, weight","Coal industry, weight","Oil / gas industry, weight","Fossil-fired utilities, weight",Fossil fuel finance fund score,"Fossil fuel finance holdings, weight",Fossil fuel insurance fund score,"Fossil fuel insurance holdings, weight","Clean200, weight"," Deforestation-risk producer, weight","Deforestation-risk financier, weight","Deforestation-risk consumer brand, weight",esg_score,grade
7736721078,0.074,0.002,0.059,0.031,24.3,0.046,13.8,0.015,0.045,0.003,0.031,0.039,23.33,3
2442256331,0.793,0.171,0.476,0.779,0,0,0,0,0.016,0,0,0,29.17,3
56930093689,0.174,0.005,0.152,0.093,30.7,0.058,33.7,0.037,0.056,0,0.075,0.107,23.87,3
93745004,0.09,0.016,0.09,0.041,22,0.048,26.9,0.031,0.146,0.009,0.035,0.165,24.57,3
1710574769,0.038,0.019,0.019,0.011,5.5,0.026,0,0,0.115,0,0.019,0.051,23.82,3
1481072106,0.027,0,0.027,0.008,3.4,0.008,0,0,0.126,0,0.016,0.055,22.29,3
98466974,0.483,0.212,0.399,0.322,0,0,0,0,0.098,0.02,0,0.036,33.44,4
3576677215,0.047,0,0.047,0.013,6.1,0.014,0,0,0.225,0,0.03,0.098,21.46,3
5275316979,0.135,0.012,0.125,0.01,0.1,0.003,0,0,0.176,0.038,0,0.001,26.83,3
440886709,0.033,0.007,0.027,0.01,10.1,0.03,5,0.006,0.106,0.006,0.019,0.045,24.02,3
856254129,0.064,0.031,0.032,0.019,9.3,0.043,0,0,0.192,0,0.032,0.086,22.01,3
1407397063,0.083,0,0.08,0.003,44.5,0.09,13.4,0.016,0.132,0,0.017,0.079,23.25,3
702522249,0,0,0,0,0,0,0,0,0.168,0,0,0.033,27.34,3
7694837556,0,0,0,0,0,0,0,0,0.332,0,0,0.092,19.3,2
4976908620,0,0,0,0,0,0,0,0,0,0,0,0,23.41,3
932500415,0.026,0,0.026,0,0,0,0,0,0.029,0,0,0,24.07,3
166606210,0.372,0.031,0.341,0,0,0,0,0,0.076,0.054,0,0.094,29.65,3
511191436,0.158,0,0.11,0.092,0,0,17.9,0.021,0.028,0.006,0,0.032,23.74,3
95750646,0,0,0,0,0,0,0,0,0.116,0,0,0,15.6,2
5058544622,0,0,0,0,0,0,0,0,0.26,0,0,0.051,21.75,3
